101aa.army.mil,144.104.32.65
asom.ellc.learn.army.mil,143.84.174.47
aspo.army.mil,143.84.101.15
assist.army.mil,143.84.106.70
assist1.army.mil,143.84.38.222
assist1qa.army.mil,214.48.20.149
assist2industry.army.mil,143.84.38.221
assist2industryqa.army.mil,143.84.38.181
assistvce.army.mil,143.84.196.8
asts3.redstone.army.mil,214.48.248.33
ataaps.redstone.army.mil,158.9.255.17
ataaps2.redstone.army.mil,158.9.255.138
atc.us.army.mil,150.177.128.67
atccs-xnet.army.mil,160.147.21.241
atcsp.atc.army.mil,134.194.32.149
atecammo.dtc.army.mil,147.241.47.112
athd.army.mil,140.16.1.38
atiam.train.army.mil,214.48.248.24
atiatest.train.army.mil,214.48.252.24
atlantis.eta.sddc.army.mil,144.100.73.47
atlas.army.mil,143.84.105.202
atlas.obs.army.mil,164.190.100.68
atn.army.mil,143.84.163.25
atnsmyrnfw01.ngb.army.mil,132.124.253.2
atrrs.army.mil,199.114.46.100
ats.army.mil,143.84.164.9
ats.pica.army.mil,143.84.5.16
atsc.cvs.ellc.learn.army.mil,214.48.252.83
atsc.ellc.learn.army.mil,143.84.174.47
atsdapps.pica.army.mil,214.48.248.61
attc.army.mil,147.241.64.12
aums1.redstone.army.mil,214.48.248.33
auth.crm.ext.eur.army.mil,199.123.108.41
auth.ext.eur.army.mil,199.123.108.160
authentix.us.army.mil,192.31.75.87
autodiscover.afghan.swa.army.mil,214.13.16.78
autodiscover.amrdec.army.mil,199.209.144.8
autopromo.hrc.army.mil,143.84.163.109
avn.peoavn.army.mil,199.209.252.76
avnctr.cvs.ellc.learn.army.mil,214.48.248.83
avnctr.ellc.learn.army.mil,143.84.174.47
avnffit.peoavn.army.mil,199.209.252.134
avnhaztrak.peoavn.army.mil,199.209.252.136
avserver.redstone.army.mil,143.84.38.177
aware.altess.army.mil,206.37.238.33
awc.army.mil,143.84.166.26
awcm.peoavn.army.mil,199.209.252.86
awg.army.mil,23.97.10.232
awg.us.army.mil,192.31.75.85
azy.yuma.army.mil,6.0.29.22
bahc.narmc.amedd.army.mil,143.84.107.122
bahc.nrmc.amedd.army.mil,143.84.107.122
baileys-tpochq1.army.mil,144.100.55.38
bamc-sa.amedd.army.mil,192.138.57.46
bamc.amedd.army.mil,143.84.105.161
bamcmedweb.amedd.army.mil,143.83.254.16
bands.army.mil,143.84.96.80
banner.qas.lmp.army.mil,143.69.26.30
bat.army.mil,150.177.195.198
battery.army.mil,143.84.24.5
battleweb.army.mil,143.84.8.84
battleweb2.army.mil,143.84.8.85
bbtrain.leavenworth.army.mil,143.84.167.111
bcs3.army.mil,160.147.21.7
bctb.army.mil,143.84.72.26
bctc.army.mil,143.84.72.63
belmanage.yuma.army.mil,6.0.8.14
belvbh010.army.mil,143.84.254.101
belvbh011.army.mil,143.84.254.102
belvfe010ht1.army.mil,140.153.99.204
belvfe100.army.mil,143.84.254.99
belvfe101.army.mil,143.84.254.100
belvgwct01vcsc1.belvoir.army.mil,6.64.138.5
belvgwct01vcsc2.belvoir.army.mil,6.64.138.6
belvoir-emh6.army.mil,140.183.1.56
belvoir-tdcms.army.mil,140.183.1.54
benchworks.army.mil,134.240.241.80
benea7edge.wva.army.mil,131.92.139.169
benea8con06.wva.army.mil,131.92.139.171
benea8con08.wva.army.mil,131.92.139.170
benning-acpers.army.mil,150.226.10.2
benning-emh2.army.mil,150.226.16.22
benning-tcaccis.army.mil,150.226.11.100
best.atc.army.mil,134.194.25.235
beta.dcgsa.army.mil,131.92.1.10
beta.jscbis.apgea.army.mil,131.92.1.148
beta.peoiews.army.mil,131.92.1.8
beta.pmpnt.apgea.army.mil,131.92.1.18
bhar.army.mil,192.188.203.216
bhsl.army.mil,205.74.185.16
bhubb3swan001.swa.army.mil,214.27.61.74
bi.army.mil,143.84.99.160
bidev4.gfebs-erp.army.mil,143.84.101.119
bids.sddc.army.mil,144.100.70.81
biqas.gfebs-erp.army.mil,143.84.101.112
biqas4.gfebs-erp.army.mil,143.84.101.114
bisa.army.mil,150.177.195.81
bitrg.gfebs-erp.army.mil,143.84.101.116
biul.lee.army.mil,143.84.161.43
biul.sdcl.lee.army.mil,143.84.161.43
bizstage.mods.army.mil,134.11.252.212
bjach.polk.amedd.army.mil,143.84.160.32
blackboard1.leavenworth.army.mil,143.84.167.36
blackboard3.leavenworth.army.mil,143.84.167.46
blackboard4.leavenworth.army.mil,143.84.167.57
blackboard5.leavenworth.army.mil,143.84.167.114
bladechassis1.yuma.army.mil,6.1.11.21
blanchfield.amedd.army.mil,143.84.106.107
blastinjuryresearch.amedd.army.mil,143.84.107.13
blitx.ra.army.mil,158.9.212.194
blueroof.usace.army.mil,140.194.100.32
blvr-cntr-gw.army.mil,140.183.1.1
blvr-csscs3b2.army.mil,160.147.21.10
bmx.ng.army.mil,132.80.23.38
bo3.monmouth.army.mil,199.123.85.178
books.army.mil,199.208.20.49
bop.peostri.army.mil,160.142.251.24
braga3nitvqscp2.uc.bragg.army.mil,6.66.0.9
braga7nitvqstf1.uc.bragg.army.mil,6.66.0.12
bragb2nitvqsms1.uc.bragg.army.mil,6.66.0.10
bragb2nitvqsms2.uc.bragg.army.mil,6.66.0.11
bragb4otc06.otc.army.mil,147.241.112.254
bragb7nitvqcim1.uc.bragg.army.mil,6.66.1.199
bragd0nitvqcuc2.uc.bragg.army.mil,6.66.0.58
bragg.vpn.2rcc.army.mil,143.84.77.85
braggwct01vcsc1.bragg.army.mil,6.64.128.5
