a1.mdt.akamai.csd.disa.mil,214.48.32.24
boge12611.disa.mil,214.3.126.11
boge126110.disa.mil,214.3.126.110
boge126111.disa.mil,214.3.126.111
boge126120.disa.mil,214.3.126.120
boge126121.disa.mil,214.3.126.121
boge126130.disa.mil,214.3.126.130
boge126131.disa.mil,214.3.126.131
boge126140.disa.mil,214.3.126.140
boge126141.disa.mil,214.3.126.141
boge126150.disa.mil,214.3.126.150
boge126151.disa.mil,214.3.126.151
boge126160.disa.mil,214.3.126.160
boge126170.disa.mil,214.3.126.170
boge126180.disa.mil,214.3.126.180
boge126190.disa.mil,214.3.126.190
boge12620.disa.mil,214.3.126.20
boge126200.disa.mil,214.3.126.200
boge126201.disa.mil,214.3.126.201
boge12621.disa.mil,214.3.126.21
boge126210.disa.mil,214.3.126.210
boge126211.disa.mil,214.3.126.211
boge126220.disa.mil,214.3.126.220
boge126221.disa.mil,214.3.126.221
boge126230.disa.mil,214.3.126.230
boge126231.disa.mil,214.3.126.231
boge126240.disa.mil,214.3.126.240
boge126241.disa.mil,214.3.126.241
boge126250.disa.mil,214.3.126.250
boge126251.disa.mil,214.3.126.251
boge12630.disa.mil,214.3.126.30
boge12631.disa.mil,214.3.126.31
boge12640.disa.mil,214.3.126.40
boge12641.disa.mil,214.3.126.41
boge12650.disa.mil,214.3.126.50
boge12651.disa.mil,214.3.126.51
boge12660.disa.mil,214.3.126.60
boge12670.disa.mil,214.3.126.70
boge12680.disa.mil,214.3.126.80
boge12690.disa.mil,214.3.126.90
brasilia.disa.mil,209.22.81.21
brazzaville.disa.mil,209.22.68.9
buster2.cols.disa.mil,131.64.4.7
ca-1.chamb.disa.mil,209.22.74.2
ca-15.c3pki.chamb.disa.mil,209.22.74.90
ca-17.c3pki.chamb.disa.mil,209.22.74.95
ca-18.c3pki.den.disa.mil,152.229.65.88
ca-21.c3pki.chamb.disa.mil,209.22.74.166
ca-22.csd.disa.mil,152.229.65.98
ca-23.c3pki.chamb.disa.mil,209.22.74.171
ca-27.csd.disa.mil,209.22.74.192
ca-28.csd.disa.mil,152.229.65.160
ca-3.c3pki.chamb.disa.mil,209.22.74.34
ca-4.c3pki.den.disa.mil,214.3.100.34
ca-7.c3pki.chamb.disa.mil,209.22.74.65
ca-8.c3pki.den.disa.mil,152.229.65.64
ca-cacb.c3pki.chamb.disa.mil,209.22.74.49
ca.intranet.disa.mil,156.112.108.56
cac1.csd.disa.mil,164.235.75.61
cac3.csd.disa.mil,164.235.43.63
cacdt1.csd.disa.mil,156.112.67.143
cacdt2.csd.disa.mil,156.112.67.144
cacpt1.csd.disa.mil,164.235.76.252
cafmidraw.disa.mil,214.36.3.132
capri.disa.mil,159.77.9.5
capvwa.dev.fmltcu.disa.mil,52.222.72.150
card.disa.mil,214.22.92.46
cardgtwy.dev.fmltcu.disa.mil,52.222.65.131
cas1.disa.mil,164.117.82.15
casa5585-jitc-clientvpn-a-1.sspl.disa.mil,214.51.32.254
cat.test.ippsa.csd.disa.mil,156.112.115.218
cchs-coop.csd.disa.mil,214.21.65.59
cchs.csd.disa.mil,131.77.136.138
ccqas.csd.disa.mil,156.112.67.157
ccqasdemo.csd.disa.mil,156.112.67.141
ccqassqt.csd.disa.mil,156.112.106.76
ccqassqt2.csd.disa.mil,156.112.106.78
ccqastng.csd.disa.mil,156.112.67.140
ccqasvld.csd.disa.mil,156.112.106.77
ccqasvld2.csd.disa.mil,156.112.106.79
ccuapi.akamai.csd.disa.mil,214.48.32.105
cdb1.csd.disa.mil,152.229.178.104
cdb2.csd.disa.mil,152.229.178.105
centauri.csd.disa.mil,156.112.107.33
centi05140.disa.mil,164.117.5.140
centi05141.disa.mil,164.117.5.141
centi05150.disa.mil,164.117.5.150
centi05151.disa.mil,164.117.5.151
centi05160.disa.mil,164.117.5.160
centi05170.disa.mil,164.117.5.170
centi05180.disa.mil,164.117.5.180
centi05190.disa.mil,164.117.5.190
centi05200.disa.mil,164.117.5.200
centi05201.disa.mil,164.117.5.201
centi05210.disa.mil,164.117.5.210
centi05211.disa.mil,164.117.5.211
centi05220.disa.mil,164.117.5.220
centi05221.disa.mil,164.117.5.221
